苏州频道,#genre#
苏州一套,http://8.217.18.235:8086/live/sbs1.m3u8?token=12345
苏州二套,http://8.217.18.235:8086/live/sbs2.m3u8?token=12345
苏州新闻综合,http://litchi-play-encrypted-site.jstv.com/live/suzhou.m3u8?txSecret=3721d0588f540351b435d8fbf7dfc604&txTime=968075ef
苏州社会经济,http://61.155.203.93:5021/live_hls/2/.m3u8
苏州文化生活,http://61.155.203.93:5021/live_hls/3/.m3u8
苏州生活资讯,http://61.155.203.93:5021/live_hls/4/.m3u8

央视(联通),#genre#
CCTV1,http://122.97.211.142:8114/FvSeid=605430ef14596959&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=7172&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_CBt=8010064&Fsv_otype=0&Provider_id=JSBC_iptv&Pcontent_id=C10000037@JSBC&Fsv_CMSID=704
CCTV1HD,http://112.86.202.37:8112/JSBC_iptv/C10000037@JSBC
CCTV2HD,http://112.86.202.37:8112/JSBC_iptv/C10000038@JSBC
CCTV3HD,http://112.86.202.37:8112/JSBC_iptv/C10000220@JSBC
CCTV4HD,http://112.86.202.37:8112/JSBC_iptv/C10000039@JSBC
CCTV5HD,http://112.86.202.37:8112/JSBC_iptv/C10000221@JSBC
CCTV5+HD,http://112.86.202.37:8112/JSBC_iptv/C10000040@JSBC
CCTV6HD,http://112.86.202.37:8112/JSBC_iptv/C10000222@JSBC
CCTV7HD,http://112.86.202.37:8112/JSBC_iptv/C10000403@JSBC
CCTV8HD,http://112.86.202.37:8112/JSBC_iptv/C10000223@JSBC
CCTV9HD,http://112.86.202.37:8112/JSBC_iptv/C10000042@JSBC
CCTV10HD,http://112.86.202.37:8112/JSBC_iptv/C10000119@JSBC
CCTV11HD,http://112.86.202.37:8112/JSBC_iptv/C10000402@JSBC
CCTV12HD,http://112.86.202.37:8112/JSBC_iptv/C10000120@JSBC
CCTV13HD,http://112.86.202.37:8112/JSBC_iptv/C10000232@JSBC
CCTV14HD,http://112.86.202.37:8112/JSBC_iptv/C10000121@JSBC
CCTV15HD,http://112.86.202.37:8112/JSBC_iptv/C10000404@JSBC
CCTV16HD,http://122.97.211.133:8112/JSBC_iptv/C10000193@JSBC
CCTV17HD,http://112.86.202.37:8112/JSBC_iptv/C10000041@JSBC
